id,name,mean_sub,mean_vi,,,,
UCj-durTg1W7uWsB8oq0u7kA,엔조이커플enjoycouple,849346,,,,,UCg7rkxrTnIhiHEpXY1ec9NA
UCKUMvfnMBsZBOe8h7ze_hiw,#D-POP STUDIO,848147,,,,,UCh6O-aBKR-99dg4rPy69CXg
UCFCtZJTuJhE18k8IXwmXTYQ,EBSDocumentary (EBS 다큐),844220,,,,,UChE5nZAIhWS5vYTRjsUgRpQ
UCdTDdygpZKdDew2s1s419iw,Shoot for Love 슛포러브,839916,,,,,UChQ-VMvdGrYZxviQVMTJOHg
UCBI8xZYkJJIec2-gyX7KcpQ,쿠쿠크루 - Cuckoo Crew,838643,,,,,UChpjIaEgwtDZtmWEkzFulSA
UCd-OrgPLrnQiQBcq19j5oEQ,GENIE MUSIC,837527,,,,,UCiBr0bK06imaMbLc8sAEz0A
UCFbK0JW_N5RKajamSf5Cbcw,딩고 / dingo,829464,,,,,UCid83oPnsL-4ZEo8CyQr6Rg
UCK2GFjc2PnRViSHRObX5nKA,키즈팡TV,828124,,,,,UCjWRi2qaGtKjQyoQLc4OGkw
UCaKod3X1Tn4c7Ci0iUKcvzQ,SBS Running Man,818871,,,,,UCkbJc8jMcTXwhtmN5VMwfXg
UCscjd-azZ1AqHxxrO6YDIQg,베이비버스 -인기 동요?동화,813635,,,,,UClkRzsdvg7_RKVhwDwiDZOA
UC47HAkQ6oZ-Hf5SVBGdvP6g,국가비GabieKook,812160,,,,,UCmLiSrat4HW2k07ahKEJo4w
UCU8mou_JjcF-IXZMkAqpA6g,LENA,807797,,,,,UCmR-oFhgGGe-dCRiDg2ysLw
UCBpzJvEhkemwMOkYLq9yUsA,2pm,804791,,,,,UCmjNKt6kITwaZTqvWuaSPLg
UCxgAdCqJvjvrF7LNqSAgzSg,피키픽처스 Piki Pictures,801846,,,,,UCnsQjCVzmEd-YvlQZbo6zCg
UCEcuyrAqhRVUmRdOd6FGKSw,기리TV,799462,,,,,UCoQIdt0bWPv3-_xuybJvTjQ
UCj0ElpMSiesbvyed1SZ-brw,유준호,798057,,,,,UCobTjybs6aP0ECliVTqbmog
UCU8zFvUOoHYB3DY5cKIiSKQ,스페셜솔져 - 모바일FPS,797512,,,,,UCq-NPoQsxpkdu5n2-BF5TCw
UCFDYNMpvWaC-x0xSbr_QNdw,Toy School [토이스쿨],795933,,,,,UCqTVaBwm6FwVTt3oC77q9Mw
UCLJs55bZWMsCBPekt3vssoQ,로이조 TV,795448,,,,,UCqXwKu6dKobXEQFhdKtiJLQ
UChEwXdVqiTrVOBiq4rOzfGA,NY Toys [뉴욕이랑 놀자],794884,,,,,UCr-rCvgg21KqfrnGopaQeGw
UCq9MDndXc1y3he3uPZLPskQ,[Nareum_TV] 나름TV,794034,,,,,UCrDkAvwZum-UTjHmzDI2iIw
UC9gW47NqzI1x7e8qsflvUUw,한별Hanbyul,789440,,,,,UCtCiO5t2voB14CmZKTkIzPQ
UC8_wgZy23gjTNVQeyfwl92g,티캐스트 tcast,785592,,,,,UCu9BCtGIEr73LXZsKmoujKw
UC3SyT4_WLHzN7JmHQwKQZww,이지금 [IU Official],780360,,,,,UCvQPUPoMK0Smj-OHeUe9SEw
